0.00.001.786 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.001.868 I srv          init: The UI is disabled
0.00.001.868 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.001.948 W srv  llama_server: -----------------
0.00.001.948 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.001.948 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.001.948 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.001.948 W srv  llama_server: -----------------
0.00.003.147 I srv    load_model: loading model '/run/media/hs/9CECDCA0ECDC75CC/Users/HS/Documents/Graduation Project/benchmark-models/DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf'
0.00.383.879 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.01.171.633 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 3072, kv_unified = 'false'
0.01.175.605 I srv  llama_server: model loaded
0.01.175.611 I srv  llama_server: listening on http://127.0.0.1:19201
1.01.673.953 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
1.01.673.982 I slot launch_slot_: id  3 | task 1 | processing task, is_child = 0
1.01.673.985 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
1.01.673.992 I slot launch_slot_: id  2 | task 2 | processing task, is_child = 0
1.01.673.993 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
1.01.673.999 I slot launch_slot_: id  1 | task 0 | processing task, is_child = 0
1.01.674.000 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.01.674.005 I slot launch_slot_: id  0 | task 3 | processing task, is_child = 0
1.07.337.500 I slot print_timing: id  0 | task 3 | prompt eval time =    2862.34 ms /   128 tokens (   22.36 ms per token,    44.72 tokens per second)
1.07.337.507 I slot print_timing: id  0 | task 3 |        eval time =    2801.10 ms /    64 tokens (   43.77 ms per token,    22.85 tokens per second)
1.07.337.508 I slot print_timing: id  0 | task 3 |       total time =    5663.45 ms /   192 tokens
1.07.337.513 I slot print_timing: id  0 | task 3 |    graphs reused =         63
1.07.337.544 I slot      release: id  0 | task 3 | stop processing: n_tokens = 191, truncated = 0
