0.00.002.214 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.002.297 I srv          init: The UI is disabled
0.00.002.298 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.002.389 W srv  llama_server: -----------------
0.00.002.389 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.002.389 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.002.389 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.002.389 W srv  llama_server: -----------------
0.00.003.612 I srv    load_model: loading model '/run/media/hs/9CECDCA0ECDC75CC/Users/HS/Documents/Graduation Project/benchmark-models/DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf'
0.00.343.077 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.01.123.883 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 3072, kv_unified = 'false'
0.01.127.219 I srv  llama_server: model loaded
0.01.127.225 I srv  llama_server: listening on http://127.0.0.1:19203
0.01.204.928 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.01.204.954 I slot launch_slot_: id  3 | task 2 | processing task, is_child = 0
0.01.204.955 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.01.204.961 I slot launch_slot_: id  2 | task 1 | processing task, is_child = 0
0.01.204.961 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.01.204.967 I slot launch_slot_: id  1 | task 3 | processing task, is_child = 0
0.01.204.968 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.01.204.972 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.09.855.249 I slot print_timing: id  0 | task 0 | prompt eval time =    2782.86 ms /   128 tokens (   21.74 ms per token,    46.00 tokens per second)
0.09.855.253 I slot print_timing: id  0 | task 0 |        eval time =    5867.38 ms /    64 tokens (   91.68 ms per token,    10.91 tokens per second)
0.09.855.254 I slot print_timing: id  0 | task 0 |       total time =    8650.24 ms /   192 tokens
0.09.855.259 I slot print_timing: id  0 | task 0 |    graphs reused =         63
0.09.855.282 I slot      release: id  0 | task 0 | stop processing: n_tokens = 191, truncated = 0
0.09.855.572 I slot print_timing: id  1 | task 3 | prompt eval time =    2783.79 ms /   128 tokens (   21.75 ms per token,    45.98 tokens per second)
0.09.855.575 I slot print_timing: id  1 | task 3 |        eval time =    5866.75 ms /    64 tokens (   91.67 ms per token,    10.91 tokens per second)
0.09.855.576 I slot print_timing: id  1 | task 3 |       total time =    8650.54 ms /   192 tokens
0.09.855.576 I slot print_timing: id  1 | task 3 |    graphs reused =         63
0.09.855.585 I slot      release: id  1 | task 3 | stop processing: n_tokens = 191, truncated = 0
0.09.855.859 I slot print_timing: id  2 | task 1 | prompt eval time =    2784.67 ms /   128 tokens (   21.76 ms per token,    45.97 tokens per second)
0.09.855.860 I slot print_timing: id  2 | task 1 |        eval time =    5866.13 ms /    64 tokens (   91.66 ms per token,    10.91 tokens per second)
0.09.855.861 I slot print_timing: id  2 | task 1 |       total time =    8650.80 ms /   192 tokens
0.09.855.861 I slot print_timing: id  2 | task 1 |    graphs reused =         63
