0.00.001.881 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.001.950 I srv          init: The UI is disabled
0.00.001.951 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.002.034 W srv  llama_server: -----------------
0.00.002.036 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.002.036 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.002.036 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.002.036 W srv  llama_server: -----------------
0.00.003.235 I srv    load_model: loading model '/run/media/hs/9CECDCA0ECDC75CC/Users/HS/Documents/Graduation Project/benchmark-models/DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf'
0.00.335.567 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.01.122.183 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 3072, kv_unified = 'false'
0.01.125.595 I srv  llama_server: model loaded
0.01.125.601 I srv  llama_server: listening on http://127.0.0.1:19203
0.01.203.484 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.01.203.512 I slot launch_slot_: id  3 | task 2 | processing task, is_child = 0
0.01.203.513 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.01.203.520 I slot launch_slot_: id  2 | task 3 | processing task, is_child = 0
0.01.203.521 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.01.203.527 I slot launch_slot_: id  1 | task 1 | processing task, is_child = 0
0.01.203.527 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.01.203.532 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.09.292.370 I slot print_timing: id  0 | task 0 | prompt eval time =    2444.92 ms /   128 tokens (   19.10 ms per token,    52.35 tokens per second)
0.09.292.376 I slot print_timing: id  0 | task 0 |        eval time =    5643.89 ms /    64 tokens (   88.19 ms per token,    11.34 tokens per second)
0.09.292.377 I slot print_timing: id  0 | task 0 |       total time =    8088.80 ms /   192 tokens
0.09.292.383 I slot print_timing: id  0 | task 0 |    graphs reused =         63
0.09.292.407 I slot      release: id  0 | task 0 | stop processing: n_tokens = 191, truncated = 0
0.09.292.659 I slot print_timing: id  1 | task 1 | prompt eval time =    2445.78 ms /   128 tokens (   19.11 ms per token,    52.33 tokens per second)
0.09.292.662 I slot print_timing: id  1 | task 1 |        eval time =    5643.28 ms /    64 tokens (   88.18 ms per token,    11.34 tokens per second)
0.09.292.663 I slot print_timing: id  1 | task 1 |       total time =    8089.06 ms /   192 tokens
0.09.292.664 I slot print_timing: id  1 | task 1 |    graphs reused =         63
0.09.292.676 I slot      release: id  1 | task 1 | stop processing: n_tokens = 191, truncated = 0
